isolateID,ST,ST:colour,Geography,Geography:colour,Source,Source:colour,Human,Human:colour,Food,Food:colour,Animal,Animal:colour,ESBL_AmpC,ESBL_AmpC:color,Fosfomycin_gene,Fosfomycin_gene:colour,tet_gene,tet_gene:colour,Trimethoprim_gene,Trimethoprim_gene:colour,Kanamycin_gene,Kanamycin_gene:colour,Macrolide_gene,Macrolide_gene:colour
R2-S-C-3,ST241,#003F5C,Japan,#5E4FA2,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-S-C-5,ST241,#003F5C,Japan,#5E4FA2,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-S-C-7,ST241,#003F5C,Japan,#5E4FA2,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-S-C-1,ST241,#003F5C,Japan,#5E4FA2,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
S-C-3-1-1-5,ST241,#003F5C,Japan,#5E4FA2,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
2211163,ST241,#003F5C,Japan,#5E4FA2,human,#FF0000,h_stool,#E60012,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
S-C-8-1-1-15,ST241,#003F5C,Japan,#5E4FA2,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
S-C-6-1-1-62,ST241,#003F5C,Japan,#5E4FA2,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
2211166,ST241,#003F5C,Japan,#5E4FA2,human,#FF0000,h_unknown,#F5B090,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-S-C-17,ST241,#003F5C,Japan,#5E4FA2,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
