strainID,CC_or_ST,CC_or_ST:color,Source,Source:color,tet_gene,tet_gene:color,Quinolone_gene,Quinolone_gene:color,macrolide_gene,macrolide_gene:color,aminoglycoside_gene,aminoglycoside_gene:color
HP12143,ST-21 complex,#E60012,Human,#FF0000,tet(O),#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12651,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12642,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12499,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12605,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12621,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
SC2,ST-21 complex,#E60012,Chicken_meat,#00FF00,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
SC53,ST-21 complex,#E60012,Chicken_meat,#00FF00,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12615,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12561,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12635,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12583,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
SC11,ST-21 complex,#E60012,Chicken_meat,#00FF00,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12565,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
SC44,ST-21 complex,#E60012,Chicken_meat,#00FF00,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12590,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R1-Cj-C-16,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,tet(O/M/O),#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12539,,,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
C-1-1-1-7,ST-464 complex,#E4007F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
C-2-2-1-38,ST-464 complex,#E4007F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12200,,,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
SC36,ST-464 complex,#E4007F,Chicken_meat,#00FF00,None,#CCCCCC,gyrA_T86I,#916523,50S_L22_A103V,#125699,None,#CCCCCC
30-CJ-C-84-1-1-51,ST-464 complex,#E4007F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12619,,,Human,#FF0000,tet(O/M/O),#ADFF2F,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12645,,,Human,#FF0000,tet(O/M/O),#ADFF2F,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12587,,,Human,#FF0000,tet(O/M/O),#ADFF2F,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12618,,,Human,#FF0000,tet(O/M/O),#ADFF2F,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12624,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
SC38,Others,#7F7F7F,Chicken_meat,#00FF00,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12542,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
R1-Cj-C-55,ST-464 complex,#E4007F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-74,ST-464 complex,#E4007F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
30-CJ-C-147-2-1-76,,,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
C-4-1-1-90,ST-464 complex,#E4007F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
30-CJ-C-21-1-1-12,ST-464 complex,#E4007F,Chicken_stool,#0E8F8F,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-79,ST-464 complex,#E4007F,Chicken_stool,#0E8F8F,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-81,ST-464 complex,#E4007F,Chicken_stool,#0E8F8F,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-84,ST-464 complex,#E4007F,Chicken_stool,#0E8F8F,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-83,ST-464 complex,#E4007F,Chicken_stool,#0E8F8F,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
SC49,ST-464 complex,#E4007F,Chicken_meat,#00FF00,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-66,,,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12560,,,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12593,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12492,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12536,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12519,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12495,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-C-63,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
30-CJ-C-10-1-1-4,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
30-CJ-C-23-1-1-15,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12247,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12233,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12221,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12176,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12183,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12220,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12648,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12516,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-94,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-96,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12601,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-76,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-128,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
30-CJ-B-102-1-12,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12520,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,50S_L22_A103V,#125699,None,#CCCCCC
R2-Cj-B-62,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,gyrA_T86I,#916523,50S_L22_A103V,#125699,None,#CCCCCC
HP12603,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
R2-Cj-B-84,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,gyrA_T86I,#916523,50S_L22_A103V,#125699,None,#CCCCCC
HP12227,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,50S_L22_A103V,#125699,None,#CCCCCC
HP12230,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,50S_L22_A103V,#125699,None,#CCCCCC
SC8,ST-21 complex,#E60012,Chicken_meat,#00FF00,None,#CCCCCC,gyrA_T86I,#916523,50S_L22_A103V,#125699,None,#CCCCCC
R2-Cj-B-127,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,gyrA_T86I,#916523,50S_L22_A103V,#125699,None,#CCCCCC
R1-Cj-B-42,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,gyrA_T86I,#916523,50S_L22_A103V,#125699,None,#CCCCCC
R1-Cj-B-44,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,gyrA_T86I,#916523,50S_L22_A103V,#125699,None,#CCCCCC
HP12562,,,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12584,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-9,ST-48 complex,#FFF100,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12506,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12238,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12493,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12228,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12544,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12607,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12566,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12588,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12551,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12531,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12537,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
SC54,ST-48 complex,#FFF100,Chicken_meat,#00FF00,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
SC55,ST-48 complex,#FFF100,Chicken_meat,#00FF00,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R1-Cj-C-9,ST-48 complex,#FFF100,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12186,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-86,ST-48 complex,#FFF100,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-7,ST-48 complex,#FFF100,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-5,ST-48 complex,#FFF100,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-C-5,ST-48 complex,#FFF100,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12505,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-11,ST-48 complex,#FFF100,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12571,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-C-7,ST-48 complex,#FFF100,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12173,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12179,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12206,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
30-CJ-C-93-1-1-55,ST-48 complex,#FFF100,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12222,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12211,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12243,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12579,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
SC58,ST-48 complex,#FFF100,Chicken_meat,#00FF00,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12576,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12628,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12242,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12139,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
30-CJ-C-19-2-1-9,ST-48 complex,#FFF100,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
30-CJ-C-56-1-1-30,ST-48 complex,#FFF100,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
30-CJ-C-40-1-1-21,ST-48 complex,#FFF100,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
30-CJ-C-123-2-1-66,ST-48 complex,#FFF100,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12218,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12226,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
30-CJ-C-128-1-1-73,ST-48 complex,#FFF100,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
30-CJ-C-9-2-1-3,ST-48 complex,#FFF100,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12232,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12231,ST-48 complex,#FFF100,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12563,ST-48 complex,#FFF100,Human,#FF0000,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-51,ST922,#1D2088,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-57,ST922,#1D2088,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-66,ST922,#1D2088,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-7,,,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-75,ST922,#1D2088,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
30-CJ-B-93-1-10,ST922,#1D2088,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-8,ST922,#1D2088,Cattle_stool,#FEF08A,tet(O),#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12654,ST922,#1D2088,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-13,ST922,#1D2088,Cattle_stool,#FEF08A,tet(O)^,#67991C,gyrA_T86I,#916523,None,#CCCCCC,aph(3')-IIIa,#ffc000
HP12145,ST922,#1D2088,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
30-CJ-B-24-1-1-2,Others,#7F7F7F,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-127,Others,#7F7F7F,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12209,,,Human,#FF0000,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,aph(3')-IIIa*,#ffc000
R1-Cj-B-25,ST922,#1D2088,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
30-CJ-B-150-1-20,ST922,#1D2088,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
30-CJ-B-207-1-39,ST922,#1D2088,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12532,ST922,#1D2088,Human,#FF0000,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-6,ST922,#1D2088,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-100,ST922,#1D2088,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-4,ST922,#1D2088,Cattle_stool,#FEF08A,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-15,ST922,#1D2088,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12581,ST922,#1D2088,Human,#FF0000,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,aph(3')-IIIa,#ffc000
HP12558,ST922,#1D2088,Human,#FF0000,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,aph(3')-IIIa,#ffc000
R2-Cj-B-119,ST922,#1D2088,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,aph(3')-IIIa,#ffc000
HP12559,ST922,#1D2088,Human,#FF0000,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,aph(3')-IIIa,#ffc000
HP12643,ST922,#1D2088,Human,#FF0000,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,aph(3')-IIIa,#ffc000
R1-Cj-B-32,ST922,#1D2088,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,aph(3')-IIIa,#ffc000
R1-Cj-B-31,,,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,aph(3')-IIIa*,#ffc000
HP12496,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12616,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12508,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12570,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12165,,,Human,#FF0000,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,aadE,#FF0080
HP12182,Others,#7F7F7F,Human,#FF0000,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12204,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-67,Others,#7F7F7F,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
SC34,,,Chicken_meat,#00FF00,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
SC10,Others,#7F7F7F,Chicken_meat,#00FF00,tet(O),#67991C,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
R1-Cj-C-52,,,Chicken_stool,#0E8F8F,tet(O)*,#67991C,gyrA_D90N,#00fa9a,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-59,,,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-33,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-35,,,Chicken_stool,#0E8F8F,tet(O),#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-C-22,ST-45 complex,#009944,Chicken_stool,#0E8F8F,tet(O/M/O),#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12509,,,Human,#FF0000,tet(O/M/O),#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R1-Cj-C-23,,,Chicken_stool,#0E8F8F,tet(O)*,#67991C,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
R1-Cj-C-20,,,Chicken_stool,#0E8F8F,tet(O),#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-C-25,,,Chicken_stool,#0E8F8F,tet(O),#67991C,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
R1-Cj-C-3,,,Chicken_stool,#0E8F8F,tet(O)^,#67991C,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
30-CJ-C-37-2-1-16,ST-45 complex,#009944,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12149,ST-45 complex,#009944,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-56,Others,#7F7F7F,Chicken_stool,#0E8F8F,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
30-CJ-C-126-1-1-71,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-58,Others,#7F7F7F,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
C-7-1-1-82,ST-45 complex,#009944,Chicken_stool,#0E8F8F,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12160,ST-45 complex,#009944,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
SC4,ST-45 complex,#009944,Chicken_meat,#00FF00,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
SC17,ST-45 complex,#009944,Chicken_meat,#00FF00,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
30-CJ-B-191-1-31,ST-45 complex,#009944,Cattle_stool,#FEF08A,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
SC47,ST-45 complex,#009944,Chicken_meat,#00FF00,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
SC3,ST-45 complex,#009944,Chicken_meat,#00FF00,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
SC20,ST-45 complex,#009944,Chicken_meat,#00FF00,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
