strainID,CC_or_ST,CC_or_ST:color,Source,Source:color,tet_gene,tet_gene:color,Quinolone_gene,Quinolone_gene:color,macrolide_gene,macrolide_gene:color,aminoglycoside_gene,aminoglycoside_gene:color
30-CJ-B-204-1-37,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-116,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12248,ST-61 complex,#00A0E9,Human,#FF0000,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-57,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-1,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-77,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O),#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-15,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O),#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-96,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-59,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-29,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-116,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-98,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-74,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,aph(3')-IIIa*,#ffc000
R1-Cj-B-54,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,aph(3')-IIIa*,#ffc000
C-10-1-1-109,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
30-CJ-C-55-1-1-28,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,aph(3')-IIIa*,#ffc000
30-CJ-B-208-1-40,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-C-32,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-38,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12225,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12533,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12515,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12528,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
30-CJ-B-233-1-45,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
30-CJ-B-163-1-24,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-31,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-19,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-3,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-13,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-1,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-72,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-79,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,rpsL_K88R,#FF0080
R1-Cj-B-17,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-40,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R1-Cj-C-34,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-B-33,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
SC13,ST-21 complex,#E60012,Chicken_meat,#00FF00,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-B-95,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
